,reviews
529,"I really admire Singaporeans in making their country worth coming back to not only once, twice but more often. Each time you come back they offer something new each time. Their airports T1- T4 is really world class most esp this Jewel its a tourist attraction in itself. I love Singapore!"
530,Jewel by name and definitely a jewel at Changi Airport. A must see if you have time. The worlds largest indoor waterfall. A credit to Singapore to have such an amazing display in an airport. In a separate building but easily accessible by skytrain or walk. Well worth the visit. Absolutely beautiful.
531,"The numerous plants surrounding the waterfall area create a hanging garden effect.  The waterfall display will occasionally be followed by the mist effect.  There is a left luggage nearby where one can keep a heavy tote bag for 4 hours at $5. Charges varies according to size of luggages.  We made our way to level 5 to tour the canopy park. We decided to do the Canopy Bridge tour on another day as it is better at night with the lights.  We installed the Changi Rewards app on the spot and gained admittance to the Canopy Park at $3 each.  It would normally cost $5 each.  The toilet there is impressive and useful for those with children as each cubicle consists of both adult and child wc and sinks.
There are many floors of shops such as a large Zara etc.  The foodcourt at B2 is reasonably priced.  It would be great to catch a movie at the Shaw theatre there too.
The entrance to Jewel is opposite to the arrival area of T1.
Definitely a must-see if one is taking a flight at the airport."
532,"I spent roughly six hours in this mall while waiting for a midnight flight, and can confidently say I walked back and forth over every square inch of it that didn’t require a paid entry. As malls go, it is very cool and you can easily spend an afternoon or longer – the waterfall itself is worth watching for a while, and the central courtyard is a relaxing (if crowded) spot to hang out in. The top level, with its cobblestones, greenery, and variety of restaurants, is also an easy spot to while away an afternoon. The stores are fine, as stores go, and there is lots of helpful signage. They also have early check-in counters to get rid of bags, and staff everywhere are eager to assist. It is very, very crowded. Very. Every restaurant has a line up, and none more than Shake Shack, oddly. Worth a visit for the waterfall alone, and an easy and enjoyable way to kill a few hours."
533,"This is possibly the latest and new attraction in Changi Airport with lots of shops, restaurants and eateries that attracted lots of visitors, local or tourists.

We happened to be here on a weekday morning after touching down from our 13-hour flight. It was 9.00am and we walked over to Jewel from Terminal 3, a good 15min walk. The directional signs are clear and precise and no issue navigating around. All T1, T2 and T3 and linked by covered walkways (and trains) here and as T4 is located further, may take the bus.

As it was still early, many shops and restaurants were not opened yet. We went by to the iconic landmark, the indoor waterfall, slated to be the biggest and tallest in the world thus far. It's nice and gigantic but I think night time view will be much nicer and more beautiful due to the lighting effects.

Luckily for us, it was not crowded and we managed to have some peace in the cooling and cosy ambience!

One can simply spend a few hours here, walking around, shopping or even dinning at the many restaurants and eateries, spreading over several storeys!

So whether you come here purposedly, or being here to catch a flight (or return from one just like me) or in the midst of flight transfer, this is surely a good place for you to spend time and chill in! 

Enjoy~"
534,One of the best new attraction in Singapore. Located at changi airport terminal 4. Have lot of restaurants and shopping around. They have a water vertex laser show of 5 minutes. Starts from 7.30 pm and with some even gaps they have around 4 shows in the evening.
535,"What an amazing place, we spent the day having lunch, shopping and fun with the kids on level 5
Highly recommended for day out in Singapore with the family, the waterfall is the largest in the world, it’s amazing, the gardens are great"
536,"Visited Jewel between flights and found a relaxing tropical oasis. The highlight is the vortex, an indoor waterfall however it is surrounded by a myriad of restaurants, cafes and attractions to help you while away the time. Because of ease of access you could also make a day trip from the city as well. It is well worth the effort to visit."
537,"Went on a weekday and I must say the place is a gem and that’s why they named it “Jewel”. The main centre of attraction have to be the Rain Vortex which gives a refreshing feel be it day or night. Shopping enthusiasts are in for a treat and be spoilt for choices as there are more than 300 retail and dining facilities. For those waiting for flight has an option to check in 24 hours before your flight and deposit your luggage. Everything about the place is about a 5-star experience, even the restrooms are not left out. Restaurants are designed with power point for mobile device charging or laptop use. There is a canopy park at the top level for fun activities and also cafes/bars there to chill out. Highly recommended place."
538,"I’m not a shopper, but I reaaaalllyy love the ambience at jewel 😌 the wide walkways are really rare in Shopping Malls here in SG, and it’s really suitable for couples or families to spend time together!"
539,"this location can be described as a forest located in the middle of the city, a great combination between the forest and the shopping center. the not only forest you can find a waterfall in the middle of jewel as the main attraction of this place in the basement you can find a food court but not all are 24 hours open. this location is best for you waiting for your flight because in this place you can drop your baggage in the check-in at jewel but not all airline can do this"
540,"When you are travelling into Singapore Changi airport, just a word of advise.. go and see the Jewel and next door. Its a fascinating creation that mesmerizing to the mind and soul. The view that you take is one of greatness and awesome creation in design and completeness..
Then you can follow up with the shopping at all the shops around.. Surely a fun place to be."
541,"Proud to be pioneer citizen of the pint size sparkling ""jewel state"" Singapore who has just celebrated its 54th birthday !
May not be as big as the elephant-size Dubai Airport in the Middle East but our Jewel Airport sparkles like a diamond under the tropical sun with unsurpassed records of social and religious harmony and peace!
Remember the days after 09 August 1965 when practically none would have come forward to support the building of Singapore's first airport in Paya Lebar ..."
542,"We had a long layover at Changi airport and went to visit the Jewel.  This is very convenient and easy to do.  Simply go through immigration/arrivals and it's a short walk to the Jewel which is a new multi-storey shopping mall.
From an engineering and architectural perspective the Jewel is very innovative and interesting.  The central feature is a large, cascading rain vortex/waterfall and lots and lots of green plants.
That said, it is really just a shopping mall and another place for Singaporeans to do what they do - shop, eat, shop ...It was very crowded and somewhat frenetic when I visited.  I thought that it might be a nice place to relax for a few hours between flights but I actually found the airport more relaxing.  Certainly worth a visit if you have time to kill but I would rather go into Singapore and walk along the river."
543,Huge shopping mall with the main attractions which is the rain vortex and canopy walk and recreational playground for kids and adults. There are 4 level above ground and 3 basement levels. Plenty it restaurant and you will be spoil for choice. Weekends is really crowded so better to hit this mall during weekdays.
544,"Changi converted a parking lot into a beautiful shopping mall with a unique waterfall and circular garden in the middle of it. Point to note, if you are on transit, you need to make sure you have at least 5-6 hours."
545,"The recently open Jewel is an attraction worth seeing when in Changi Airport. Like Dubai, Singapore have made its airport a tourist attraction. beyond the  many exclusive shops and restaurant, they have a theme attraction build like the garden and the forest. aside from the greeneries, they have an artificial waterfall coming from the top to the basement floor area, the water flow is protected by plastic structure, and the night view is just wow, with computer image and color. The different attractions are sponsored by big companies as commercial venture. It is worth all the time you spent here. Cometo airport early to check in and visit Jewel."
546,We visited the indoor waterfall and garden and it was every bit as spectacular as Gardens by the Bay. Definitely worth a visit if your on a stopover.
547,"This is the latest mega mall in Singapore. The unique selling point is that on top of the hundreds of shops and eateries, there is also an in-house garden with a beautiful water feature. 

It is connected located on the east coast of Singapore and is connected to the 4 airport terminals of Changi International. It is therefore very accessible by public transport, including the MRT.

This is definitely a must-do for tourists and locals"
548,"Rather disappointing. The only thing nice is the waterfall which is almost similar to the one at Marina Bay Sands. For an expensive ''mall'', it looks cheap. So many not so happy people working there. They shouldn't be closing areas for private events."
549,"Jewel @ Changi Airport is a must-go if you're passing through the airport or have a little time to spare before your next flight or even if you aren't going to the airport, visit Jewel. The indoor waterfall is just one of the many sights to behold in this large building. the amount of nature and greenery in just this one setting is beyond overwhelming. however, the lines are long for some of the shops during peak hours (namely shake shack) but there are other shops and eatery that you can visit alternatively. if you want to go to a shopping mall that has everything - clothes, a view and most importantly, food. then, jewel is the place to be."
550,"5+ Stars - while driving or departing the Changi Airport, allow enough time to visit the Jewel.  the Jewel is the largest indoor waterfall (I think in the world) located in a gigantic greenhouse type building that is also a mall/food court/etc etc.  It is easily accessible from most of the terminals by shuttle or walking.  It just opened in April 2019 and has become a must see for both tourists and locals!  When visiting you MUST go to the top floor and look at the waterfall from this viewpoint to truly realize the magnitude of what you are looking at.
Suggestion: plan on eating there and there are even locations that you can check in your luggage if you do not want to haul it around with you.   DON'T miss the Jewel!"
551,"As i arrived at T4 changi airport, one of the hype place was Jewel Changi Airport. So we took shuttle bus from T4 to T2 and then follow the direction to Jewel. After 5 or 10 min through walking bridge, we could find Rain Vortex. Don't forget to take a picture there. If you're hungry, there's many restaurant to choose."
552,Its really amazing. A place must go if u either travel to singapore or transit in singapore. Its just part of Changi Airport. Good scenery
553,"The highlight of Jewel is the Huge indoor Water Feature. Night time there is a light show every 30 minutes, looks really good. Watch your back though lots of people pushing in to get a better look also be aware of your valuables. There are lots and lots of shops on many levels, the top level has lots of really good restaurants and bars also some activities for the kids at a price though. We spent 3 hours here while we waiting for our flight, easy access to any terminal via the walk bridges or the light rail."
554,It's still pretty much a mall but its got some nice views of the waterfall. It's been super crowded since it has opened so prefer non-peak hours
555,This has to be another of Singapore's great attractions. We were staying at the Crowne Plaza on our Singapore stop over and Jewel is only a few minutes walk. The Vortex water feature is stunning especially the lighting display. Easily the main attraction. There are any number of retail outlets that cater for everybody. A food court and  many eating establishments.
556,"Sure it's slightly cheesy and definitely showy - but I can't help but love it :) 
I checked my bags in early which magically found their way to the plane.  I had a great meal, took some photos by the waterfall, and walked around the mall then hopped on my plane.  It was pretty busy at the mall. If you don't like crowds this won't be your scene.  Such a great addition to an already impressive airport.  Wow!"
557,"This is how Singapore Airport keeps its number 1 standing in the world for the best airport for 7 years running!

Its a must see not just for the visitors to Singapore but for every Singaporean as well!"
558,"I always see the news and hear from friends about Jewel, but I never get chance to see. One day, my Friend brought me there and check it out. It was amazing. Doesn’t matter from which side to see, it looks great and cool!"
559,"Our flight was leaving from terminal 1 so once we had checked in our luggage it was a simple walk across the road. On entering the glass and steel dome the first thing you see is the amazing waterfall that is the focus. It is surrounded by gardens, sky nets, a maze, as well as shopping and dining options. The monorail that links to terminals 2, 3 and 4 passes through this dome building. It was a wonderful cool and relaxing place to visit before our long flight home. What a marvellous place, and at an airport!"
560,"Singapore has done it again with this great attraction at the airport. Don’t think any other airport has anything like it.   High class shops, amazing water feature and light show.   My only complaint was that the shops close at 10pm. The food court in the basement however is"
561,"To me, its just another shopping mall with a gigantic indoor waterfall and some paid attractions.  I'm in awe with the gigantic indoor waterfall. Good thing is that it has a lot of viewing area. The paid attractions was slight pricey and doesn't seems worth it during a crazy"
562,"We spent a few hours at Jewel during our recent visit to Singapore. The waterfall is beautiful and worth seeing. There are many shops and restaurants. The place is popular with locals and certain restaurants are very popular, to the extent that there were long quese to get"
563,Jewel wow amazing visited here on my long stopover from Athens to Adelaide this place is incredible beautiful waterfall in the middle which starts from the the top and ends just before the basement many walking trails within the complex and many restaurants and shops which
564,Heard so much fanfare about Jewel and finally visited the place with my family. The HSBC fountain was def worth the visit. The 5min light show though short was enough to wow my kids. There are lots of food options on most floors. The TOP level is reserved for the sky garden and
565,"Jewel is new amazing indoor waterfall inside Changi airport. Airport itself have bar, restaurant, mini theater and many place. Not just traveler can visit but for everyone. Amazing!!"
566,"You may think that an attraction at the Changi airport must be for the tourists. Recent statistics, however, showed that 90% of the visitors to this attraction are Singaporeans. I am one of them who came here with my residents on two occasions.   On the first visit, I"
567,"Basically a giant shopping mall with a massive fountain centerpiece, and a roof canopy for kids. A couple of firsts though - A&W restaurant, shake shack, amazon cafe. And the second Apple store"
568,"Visited the Jewel with my two nieces who are in primary school. The place is quite a sight, just like a movie set. You know it's not real but it still feels like it. Go in the eve too when the lights are turned on for the fountain. The view from the Tapas restaurant is amazing."
569,The place is cold even there's a lot of people because it was the opening week when we went there. All other attractions haven't opened yet that time. Definitely will visit again. A lot of restaurants and boutique also!
570,"When it was first opened some time ago, I didn't join the crowd to be among the first to experience the inauguration.  
When the excitement died down is the best time I feel to sample the sights of Jewel that was located in Terminal 1 of Changi Airport.
I had arrived at around 7pm and left around 12am.  In between walking through the high end mall, I had a meal and watching a movie at the Shaw Cinema located at B2.
There are plenty of eateries and be prepared to pay a little or more than the normal fare elsewhere.  However I believe the fast food joint may or may not charge a little extra.  The queque at A&W was snaking when I arrived.  It was not that crowded elsewhere perhaps because its the weekday.  
Most of the public were enjoying the other sights and trying to walk the link bridge to other terminals.  And the rest were eating but not many were shopping at the time I was there.
I love the atmosphere and would be coming back to catch up with the rest of the attractions I have planned to visit."
571,"If you have a stopover at Singapore, do drop by at Jewel Changi Airport. The Jumbo Seafood Restaurant there has really yummy seafood. But you will definitely be spoilt for choices regards to the multitude of restaurants and food outlets available.

If you happen to arrive after 7pm, the waterfall offers you lightshows at 7:30pm, 8:30pm and every hourly thereafter till 12:30am, daily. Enjoy the sights and sounds.

Lots of shops for you to browse around too."
572,A nice scenic view but everything is expensive and overpriced. Worth a sight but not a single purchase for my family.
573,Sadly cannot be accessed when in transit...however if you have time clear customs and immigration and have a look ...allow plenty of time to check in again..impressive water feature dominates the centre and plenty of top end retailers as well as food outlets to please most tastes
574,"Heard about the crazy queue for some of the food outlets at Jewel, T1 but managed to get into this place on my way to fly out. The waterfall in the centre is impressive indeed, you can walk around not up close around the mall, many food outlets as well as shops - some are crowded some are not, but have no time to actually browse all. I paid for the entrance and went it and Yes the place is interesting to visit, children are happy where they can take photo, enjoy the mist garden (not sure of the name), and i tried the walk, visit the mirror area, spent about 2 hours - crowded and some place the queue is long so give it a miss. Good to visit during week day definitely not Saturday Sunday or any public holiday. Worth going again to have another closer look."
575,"The 40m-high Rain Vortex, that is expected to be the world's tallest indoor waterfall, is very amazing. If you visit Jewel at night, you also can enjoy the light and sound show with special lighting effects. There are lots of restaurants and shops there, playgrounds for children. It is easy to spend 2 to 3 hours there.

If you like Pikachu, you must go to Jewel on weekends in July 2019. There is a parade comprising eight Pikachu, an Eevee and a Mimikyu will be held twice a day on weekends in July 2019."
576,"Definitely a place to visit if you have a few hours to spare in the airport. Have a walk around, try different floors to see the fountains. The experience is just phenomenal."
577,"So i wasn’t keen on visiting a mall but my husband is an architect and he really wanted to see it. It had just opened and I couldn’t believe how amazing it was! It was very easy to get there from all the terminals. We had to get the little bus with our hand baggage and it was no problem at all. 
Didn’t do much shopping but the waterfall is amazing!"
578,"Very nice. At around 530 pm, Jewel is already fairly crowded. It is actually a huge shopping center attached to terminal 1. The massive water feature is spectacular- it gets nicer at night with colorful lights. Each level you get to see differs features of this massive water feature with indoor plants another mini water feature . Tis to travelers/ jewel is outsider the terminals so please don’t go inside departures hall or you will miss this jewel. You need almost 4/4 hours here as there are lots to do including walking on floating bridge. After you enjoyed Jewel
Hi 
. Check in and take the transfer train from terminal 2 back to3 as that train go inside jewel and you can take photo and see this water feature from the transfer train."
579,"get there early if you are departing, you don't want to miss the Jewel experience. See the biggest indoor waterfall in the world called the Vortex. This alone is spectacular, then there is lots of other things to see. Wonderful, wonderful airport. And if you smoke you will love the out door area. So you won't get stuck in a glass box chuffing away in a smoke filled room. Good restaurants, great shops. If you are just flying off it is worth taking a couple of extra hours just to see it"
580,"Its a must go place, very well engineered.  A man made wonder that really bring piece of mind.  They have more than one attraction and a lot of eateries and shopping option."
581,It's truly a beautiful building - Changi Airport Jewel ! The vortex is a sight to behold. Beautiful and even therapeutic just to stand there and watch the water flow down so majestically ! Also plenty of shopping and dining options. An enjoyable place to spend some time with the family. :)
582,"Spoilt for choice when it comes to food but it could be more appealing if they could have more international variety not found in Singapore yet eg Wholefood(US esp salads),Boudin (San Fran chowder etc) notwithstanding those  on the 4 level which is out of reach of everyday folks

The waterfall (fountain ?) is overwhelming initially  but after a few minutes of elbowing myself through the crowds(Sunday evening) it becomes less appealing.  

There are a  few critics here whom found Jewel  'no big deal' but I would ask which other airport could give you the variety of food ! if you have been to San Fran intl airport s Foodcourts inside and outside you would pp perhaps agree with my points. 

well done Singapore !"
583,"Visited this place after arrival..sooo amazing and its becoming a stunning  tourist destinaton since it was opened..beautiful landscape indeed.

We enjoyed our time exploring the place..."
584,"My flight departed from Terminal 1, so how could I not go early and catch a glimpse of the Jewel? It's a 5-10 minute walk from the check-in desks at terminal 1 and I was primarily interested in the waterfall and plants, which are pretty stunning. Going through it on the train must be a pretty cool experience, but I didn't have enough time for that. The place was still pretty busy at 10pm and with the many restaurants etc, I can see why, although I'm not sure that I would go there if I didn't have to use the airport."
585,"Well worth a visit for this amazing waterfall. It is only 30 mins on the train from Orchard Road. Good place to chill, take photos and eat. Not so much for shopping."
586,"JEWEL is the new mall in Changi airport. It can be reached thru walking hallway from all Terminal 1-3. The mall has mostly food but few good shops. I would recommend spending 3-4 hrs before or after your flights to truly enjoy it. You cant use the airport trolley though, so make sure you carry a wheeled luggage. The middle part has a beaufiful fountain with stairs on the sides good for picnic. The top mall has some park or outbound activities for kids. So good foods and sightseeing. No fee to see the fountain but the activities are with fee of ~SGD8-15/pax. For pictures go to their site."
587,"Was going to visit family in Malaysia and heard about Jewel from my mom. Since I hadn’t been to Singapore in years, I decided to stop over and explore. Staying in an airport hotel was a good choice as it allowed us a lot of time to explore the Jewel terminal. Convenient too. Just walk on over and lots of restaurants to eat at. Shops to visit with plenty of items to purchase. We stayed two days and although walked around most of the structure, we didn’t have time to fully explore as we did go on a couple of tours of the island. There was also a new attraction opening after we left so we need to go back. The indoor waterfall has a sound and light show which was cool. Unfortunately we missed some of it because we didn’t know what time it started and thought the colors the water changed into was it. That was neat too. Definitely head over to the Jewel if you are in transit at Changi airport."
588,"Since I arrived at the airport, the place and ambience was very nice. The personnel greeted us with a smile and the internet is very fast. The mall is filled with amazing stores and all of the toilets are maintained properly. Probably one of the best airport I've been through."
589,"no words, magnificent view and it was a great experience, I can say surely definitely it will be a different experience to the travelers. waterfall and  the musical laser show  gives u   heavenly feel, wooow"
590,Singapore has elevated airport development with Jewel at the Changi airport. No other airport in the world comes close to the interest & curiosity visiting Jewel Changi airport could bring. One does not even need to explore Singapore anymore. Singapore's wide array of dining &
591,"Having seen many photos from various sources since its opening, I thought I would not have as great an experience as those who have had a taste of this crazy attraction in Singapore.  Surprisingly, I arrived at the Jewel, feeling more impressed than ever!  The biggest highlight"
592,"It's certainly an impressive effort and deserving of the hype surrounding it. We visited with the kids on a rainy weekend day in April. Even early in the morning it was crowded, with an insane queue at Shake Shack and at A&W: haven't these people tried junk food before!? But the"
593,"I was interested to see the 'Jewel' at Changi when transiting through yesterday, after hearing so much gushing praise about it. However I was frankly left cold. You see, Singapore needs more shopping malls like an oil millionaire needs more Ferraris; once you reach a certain"
594,"This place is amazing, be sure to check it out if you have a long enough stop over at the airport or visiting Singapore.  The inside waterfall & rainforest is truly an amazing site. Heaps of good food options and shopping as well.  You will need at least a few hours to walk"
595,"We planned a visit Jewel and arrived at the airport earlier than normal and planned to have dinner.

It was incredibly busy as it was around dinner time and there are 100s if eating places. But worth working through the crowds to see the the Jewel and the HSBC vortex.

We managed to also see the HSBC music and light show which starts each evening every hour from 20:30.

Worth a visit to see the marvel"
596,"When we were leaving Singapore, after all the formalities we went to the Jewel
Only Singapore would built something like this in an International Terminal
Must see, interesting concept don't stand to close you'll get wet."
597,Amazing 40m Rain Vortex is the worlds tallest indoor waterfall surrounded by lush green is the main attraction at Jewel Changi Airport. At night there are scheduled light and sound show at the Rain Vortex
598,This is the awesome place in airport Changi. I think it is the best concept mall integrated with tbe airport and attraction. You can enjoy the waterfall in the airport mall.
599,"Visited Jewel Changi over the weekend with my kids. Jewel is essentially a massive mall connected the terminals of Changi Airport, and offering travelers a chance to refresh themselves with some retail therapy and a dizzying array of food choices, ranging from A&W to local delights. The highlight of Jewel is obviously the Rain Vortex waterfall. It's quite a spectectular sight.

While we enjoyed strolling around the mall, we find that the queues for restaurants and cafes to be too long, especially at A&W. Singapore has a culture of queueing and I'm not surprised to see such long queues here, especially in such a media-hyped newly opened establishment. Better to have lunch outside before visiting Jewel, else one could starve just waiting for the food.

As for the shopping here, there is very little of anything unique, as most of the shops are the same ones you can find in any other Singapore malls. While it's quite an experience to visit Jewel Changi, I wouldn't recommend this place for serious shoppers. It's more catered towards travelers transiting in Singapore.

Overall, I would say Jewel is worth a visit, but not a place one would visit too regularly."
600,Awesome! Central waterfall against backdrop of the rainforest and the skytrains running feels like we've gone back to Jurassic times! Parking is expensive. Food queues are very long during meal times so best to avoid lunch and dinner crowds. Many restaurants and you will be
601,"The main attractions are the largest indoor waterfall, the rain vortex and the canopy area. Surrounding this zone are many shops and eateries. Enough to keep you entertained for hours, including an imax cinema. "
602,Very huge mall with the concept of a garden and indoor waterfall which can be seen no matter which floor you are at. Watch The HSBC vortex light show if you have the time at night. Worth watching. Lots of restaurants and shops. The rooftop bars offer an alfresco dining
603,"Changi airport is a world leader and this new complex with a rain vortex, rainforest and nature trails, surrounded by multiple levels of shops and restaurants is amazing. The rain vortex is illuminated and there is an hourly light show. A nice break for travellers in between"
604,"Changi Jewel is the latest terminal and the outstanding feature is the vortex waterfall. To really enjoy the sight of the cascading water, one should travel to the top by lift and then descend downwards via the spiral walkway and stairs. Then to the basement to see where the"
605,"In love with Jewel Airport. Lots of variety of shops & food, perfect for all ages. The top floor is very nicely decorated and has good ambience, perfect for a night out. "
606,This is a place you can visit if you have time and waiting for your flight at the Singapore airport.  This is mall and accessible from most of the terminals.  It has very good design and colorful water fall inside mall is main attraction.  There are lot of options for dining and
607,"With the Jewel Changi recently open to public, this is a definite must visit with family and friends. One of their standout attractions would be the indoor waterfall especially their light show in the evening.   This place is also good for shopping and also for foodies who just"
608,I have no other words! What the have created is nothing short of spectacular. The waterfall itself is so beautiful but add the gardens and it’s mind blowing. A must see and easy to access from the airport terminals. 
609,If you got time at Changi airport the Jewel is worth an hour visit. Basically it is a mall with a huge cylindrical waterfall surrounded by an indoor jungle. Lots of bars and restaurants. Prices are way cheaper than downtown Singapore. Rad walking or shuttle from terminal. 
610,"We had checked into our flight and decided to look at Jewel and get something to eat prior to our flight.  Everyone from taxi drivers to waiters had urged us to go to the Jewel so we thought it must be super amazing.  It was a long walk from the terminal and its easy to lose track of time, so be sure to factor that in if you are going prior to a flight.  We were disappointed as we arrived about 745am and nothing was open.  The water wasn't flowing in the waterfall either.  There were lots of people just wandering around what is essentially a massive shopping centre with a really big indoor waterfall in the middle of it, and lots of plants.   At 8:00am the waterfall started to flow and it was pretty cool.  Kids absolutely love it.  There are lots of restaurants and there are some climbing activities on the upper level that looked fun (but were not open).  We had to walk back to Changi and get something to eat at Starbucks as it was the only thing open early in the morning.  A bit disappointing but overall its worth a look and to take some pics."
611,"We didn't looked for this place last year when we go to Singapore. But this year, we arrived at terminal 1 changi then just a step from the outside gate we find this place... So beautiful, amazing how Singapore can make this... We also take lunch at the ground. Good for them who had long transfer waiting at airports."
612,"Jewel at Changi Airport, Singapore, is almost beyond believe. And that is because who could imagine that an airport would actually become a leisure/tourist destination? And yet, that is what's happened. A stunning destination with 280 shops and restaurants and all sorts of cool things to do. Incredible greenery, trails, hi-tech game-play and, of course, the mesmerizing Vortex. The stark disparity between Singapore's Changi Airport and the New York airports is almost embarrassing. Fantastic job, Singapore, add this incredible achievement to the already long list: Singapore Night Safari, Gardens by the Bay, Sentosa and all its attractions, Marina Bay Sands complex, Formula 1 night race ... and so much more."
613,"Bringing the outdoor indoor, with amazing landscape. Great place to spend your time before boarding."
614,Its a mall. with beautiful landscapes - and the fountain is just stunning. There is an indoor bridge that connects you to Jewel from Terminal 2. Convenient indeed if you have time upon arrival / before departure. Be prepared to walk about 20 min .. Loads of food - and if you do want to be careful with your pocket - then explore the food court at the bottom floor.
615,"Once again Singapore brings the outdoors indoors so that you can enjoy nature without the humidity and heat!  And they make it visually stimulating.  Jewel is essentially the newest mall in Singapore, with shops and eateries.  One visit is enough for me, personally."
616,"Was there with my family over the weekend and was amazed with the wonderful views, numerous shopping and restaurants that took us hours to complete."
617,"The Jewel had opened since our last visit to Singapore so we made a point of visiting.  We used the MRT to get there and it is clearly signposted.  The whole area is exceptional - loved the indoor waterfall and gardens area but so much more there as well.  Not all the shops/restaurants are open just yet (more opening soon) but still plenty of choice and fantastic venue which is a credit to Singapore.  Plenty to see and do so either allow extra time when travelling to the airport or plan a separate visit.  Would recommend.  A new ""must do"" in Singapore."
618,The convenience of having such an amazing mall beside the airport is truly astonishing. The architectural is just mind boggling! Who would ever thought to create a falls inside a mall! Just WOW!
619,"Though it all about an artificial waterfall inside the complex, its enough to sit there and keep you entertained for hours. The sound of waterfall actually soothes the mind and gives a feeling of being close to nature. Apart from waterfall, there are few activities but all chargeable and better to be done with kids. But keep an eye during these activities as recently there have been a few accidents in news (especially mirror maze). Overall a good place if you got time to kill and no money to buy stuff at duty free/not interested in shopping related activities."
620,Jewel is definitely one of the must go place in singapore now. Its remarkably beautiful and not to mention its indoor. Its a huge place to go and I must say.. Avoid peak hours and weekends. Alot of people are probably the problem you can foresee in this place.
621,Beautiful iconic best airport experience in the world. At must visit when on stopover in Singapore. Wonderful fountain in an airport.
622,"Coming from Dubai,  the Jewel was a good initiative by the Changi airport for travelers to complete their check-in early and go for some shopping.  Behold... all shopping to be completed before 10pm!! This for me killed the thrill as I had just over an hour to venture inside since my flight was only at 1:45am and I had reached the jewel by 8:45pm after early check-in oblivious to the thought that they could close the jewel so early.  

Anyway, the jewel is a shopping mall suited for both locals for an experience as well as tourists for their last minute shopping and have a quick bite or drink.  The main attraction is of course the waterfall (and the hourly light shows) in the rainforest setting.  I would suggest that a tourist visits the jewel before check-in so that the shopped items could be included within the checked in baggage.  Pokémon shop, changi airport shop, a Japanese Knick knack shop were my highlights.  Most of the experiences within the mall were no in operation due to maintenance.

Would say that this is a must visit for all who visit Singapore."
623,Huge awesome indoor Vortex waterfall with indoor garden and lots of restaurants eateries and shopping store in this Jewel Changi Airport. Worth a visit do not go on weekends very crowded and long q in most of the restaurant go on a weekdays.
624,"A great place to visit if you are in transit or want some time in air-conditioned comfort out of Singapore’s heat!  The waterfall is impressive and I would have liked to see it lit up at night. It is surrounded by greenery which is lovely. There is a canopy walk, trampoline type attraction and a maze, which all have a cost. Other than the waterfall the place is giant mall. We didn’t feel like shopping but there are also very many places to eat and we enjoyed a very nice lunch."
625,Jewel changi airport..Beautiful landscape n environment.  Went there for a movie. Love the seats..theatre..sound system etc.  Wonderful experience. Will.definitely visit again!
626,"Spent almost 5 hours going around here before boarding my flight at the connecting Changi Airport. Loved the strong and continuous WiFi service which was unlike the service at the main airport (slow and unstable). No shortage of places to eat, shops to visit, and attractions to explore here at Jewel. Restrooms are clean too and easily accessible whichever floor you are. Terrific place to kill time when your flight is delayed, and I loved that walking in its multiple levels means I get to exercise too in a safe and airconditioned place. Nice!"
627,"We had to been this place for site view and shopping.
The overall experience of site view of Jewel was fabulous and it has the world largest/tallest indoor waterfall I.e 40meter.
On roof of this place, there are couple activities area for adults and kids.
It has beautiful indoor gardens too.

We enjoyed this place."
628,Make sure you take the time to go to all the levels and get a look at the waterfall from all angles.  Many of the shops still to open and the signage back to the airport is very bad - we had to continually ask how to get back as the signs seem to stop without another one.  However its only just opened so take this away and it will be an incredible spot to spend a few hours whilst waiting for a plane
629,"I visited this mall twice during my visit to Singapore. Once after I landed with my luggage from T2 we went to T1 where the entrance to the Jewel is located. I wouldn't do that next time since with the trolley we cannot go to the higher floors since the trolley were not allowed into the elevators. So for the first trip I only went to the 1st floor of the waterfall. When we departed from Changi, we checked in our luggages then we went to the mall. Which is a better idea. At the top floor you can pay to enter some attractions or spend some time in the restaurants with great view of the garden and the waterfall. It's a beautiful mall. It's a must visit in Singapore now."
630,"and its surrounding garden dome - this is a world spectacle, as usual for Singapore with lessons from other indoor waterfalls learned, but way improved.  The place is much bigger and more impressive than the myriad of pix and clips everyone is posting.  

The food around it and the mall are nice and grand and modern, but it's a mall and very upscale mall food.  That doesn't exactly float my boat, but for a stopover, it is nice.

I was coming from T2 and checked in early to see the Jewel.  I went an hour early, and that was enough (I usually allow 3 hrs to go from West Coast to Changi.)  Walkway is longer than you think but still nice."
631,"The jewel has changed the outlook of Changi.
Since we visited on a holiday, the place was really crowded. The whole place had - shopping, all brands. Food on all floors. It is still not done to full, there was work still going on. We wanted to walk on the bridge, but it was closed for some private function. A good place to shop, eat and loaf around. The waterfalls was too good. You get great food, drinks and ice cream too.
A new engineering, architectural marvel truly of the glass and metal kind. The waterall also keeps the place cool. You have it all indeed!
It is good when viewed in the evening with the jewel all lighted up."
632,"Jewel was amazing, we spent a few hours shopping and exploring before our flight to Bali.  It is an absolute must see if you are in Singapore."
